Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
10/18/2020,8:00 AM,Karnataka,637481,10427,758574
10/18/2020,8:00 AM,Ladakh,4535,66,5534
10/18/2020,8:00 AM,Chhattisgarh,129883,1439,158502
10/18/2020,8:00 AM,Nagaland,6141,27,7698
10/18/2020,8:00 AM,Arunachal Pradesh,10315,30,13348
10/18/2020,8:00 AM,Manipur,11443,111,15141
10/18/2020,8:00 AM,Meghalaya,6034,75,8404
10/18/2020,8:00 AM,Kerala,236989,1139,334228
10/19/2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,3127,2,3183
10/19/2020,8:00 AM,Mizoram,2148,0,2253
10/19/2020,8:00 AM,Andhra Pradesh,740229,6429,783132
10/19/2020,8:00 AM,Bihar,192783,996,204363
10/19/2020,8:00 AM,Andaman and Nicobar Islands,3868,56,4108
10/19/2020,8:00 AM,Tamil Nadu,637637,10642,687400
10/19/2020,8:00 AM,Jharkhand,89011,839,96352
10/19/2020,8:00 AM,Punjab,117883,4012,127630
10/19/2020,8:00 AM,Haryana,138351,1640,150033
10/19/2020,8:00 AM,Chandigarh,12554,208,13646
10/19/2020,8:00 AM,Odisha,246837,1135,268364
10/19/2020,8:00 AM,Uttar Pradesh,415592,6658,455146
10/19/2020,8:00 AM,Delhi,301716,6009,331017
10/19/2020,8:00 AM,Sikkim,3265,60,3597
10/19/2020,8:00 AM,Madhya Pradesh,144134,2773,160188
10/19/2020,8:00 AM,Telengana,200686,1275,223059
10/19/2020,8:00 AM,Tripura,26550,331,29553
10/19/2020,8:00 AM,Goa,36395,544,40587
10/19/2020,8:00 AM,Gujarat,141515,3635,159564
10/19/2020,8:00 AM,Jammu and Kashmir,77886,1379,87942
10/19/2020,8:00 AM,Uttarakhand,51369,927,58024
10/19/2020,8:00 AM,West Bengal,281053,6056,321036
10/19/2020,8:00 AM,Rajasthan,150379,1748,173266
10/19/2020,8:00 AM,Maharashtra,1369810,42115,1595381
10/19/2020,8:00 AM,Assam,171683,868,200709
10/19/2020,8:00 AM,Puducherry,28290,574,33141
10/19/2020,8:00 AM,Himachal Pradesh,16069,268,18967
10/19/2020,8:00 AM,Karnataka,645825,10478,765586
10/19/2020,8:00 AM,Ladakh,4615,66,5598
10/19/2020,8:00 AM,Chhattisgarh,132168,1478,160396
10/19/2020,8:00 AM,Nagaland,6206,27,7816
10/19/2020,8:00 AM,Arunachal Pradesh,10552,30,13406
10/19/2020,8:00 AM,Manipur,11741,116,15463
10/19/2020,8:00 AM,Meghalaya,6282,75,8508
10/19/2020,8:00 AM,Kerala,245399,1161,341859
10/20/2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,3140,2,3185
